CODE	FACULTY	NAME	STUDENT_COUNT
A_SPT	CST	English for court translators and interpreters	8
AUT_TM1	CST	Introduction to scheduling and time management for students with special needs	26
BELONG	CST	Professional Writing and Communication with Employers	6
CJV_AJ_ESL	CST	English Speaking and Listening	13
CJV_A_KPed	CST	English for Department of Pedagogy	4
CJV_A_REC	CST	English for Recetox Staff	36
CJV_A_RMU	CST	English for Staff RMU	25
CJV_A_ZZS	CST	English for ZZS Staff	18
CJV_CEFR	CST	CEFR	0
CJV_CTV	CST	CJV Thursdays	0
CJVcz4A	CST	Czech for Academics - Welcome to MU	0
CJV_DIAL	CST	Language test Dialang	989
CJV_F_Cris	CST	The economic crises of capitalism	4
CJV_F_Econ	CST	Economic French self-study	11
CJV_Fr_An	CST	French comparative online course from the English background	12
CJV_ICSDM	CST	International Communication Strategies	6
CJV_K_AGP1	CST	English Grammar in practice I (commercial course)	11
CJV_K_AGP2	CST	English Grammar in practice 2	6
CJV_K_Ar1	CST	Arabic for Absolute Beginners I (commercial course)	23
CJV_K_Ar2	CST	Arabic for Absolute Beginners 2	11
CJV_K_Ar3	CST	Arabic for Beginners I (commercial course)	5
CJV_K_Ar4	CST	Arabic for Beginners II	4
CJV_K_Czes	CST	Czech for Exchange Students	36
CJV_K_Fr5	CST	French for Pre-intermediate I (commercial course)	10
CJV_K_Ch1	CST	Chinese for Absolute Beginners I (commercial)	6
CJV_K_Itc3	CST	Italian for Travelling A1+ (commercial course)	11
CJV_K_Itc4	CST	Italian for Travelling A2 (commercial course)	7
CJV_K_It1	CST	Italian for Absolute Beginners I (commercial course)	12
CJV_K_It2	CST	Italian for abs Beg 2	6
CJV_K_It3	CST	Italian for Beginners I (commercial course)	11
CJV_K_It4	CST	Italian for Beginners II (commercial course)	3
CJV_K_N1	CST	German for Absolute Beginners I (commercial course)	12
CJV_K_N2	CST	German for Absolute Beginners II (commercial course)	7
CJV_K_N3	CST	German for Begginers I (commercial course)	10
CJV_K_N4	CST	German for Begginers II (commercial course)	3
CJV_K_N5	CST	German for Pre-intermediate I (commercial course)	9
CJV_K_N6	CST	German for Pre-intermediate +/II (commercial course)	0
CJV_K_Pr1	CST	Portuguese for Absolute Beginners I (commercial course)	12
CJV_K_Pr2	CST	Portuguese for Absolute Beginners II (commercial course)	9
CJV_K_Sp1	CST	Spanish for Absolute Beginners I (commercial course)	19
CJV_K_Sp2	CST	Spanish for Absolute Beginners II (commercial course)	5
CJV_K_Sp5	CST	Spanish for Pre-intermediate I	9
CJV_K_Sp6	CST	Spanish for Pre-intermediate II	2
CJV_K_Sw1	CST	Swahili for Absolute Beginners I (commercial course)	6
CJV_K_Sw2	CST	Swahili for Absolute Beginners II (commercial course)	2
CJV_R_Econ	CST	Obchodní ruština on-line	11
CJV_R_Real	CST	Ruské reálie on-line	7
CJVU_ACS	CST	Autumn Cinema Sessions	0
CJVU_APE	CST	Assertivity in a plurilingual and pluricultural environment	7
CJVU_CG	CST	Czech - grammar practice	21
CJVU_CGP	CST	Czech - practice in grammar and orthography	4
CJVU_CP	CST	Czech - orthography practice	6
CJVU_CV	CST	Czech - pronunciation practice	21
CJVU_CzHu	CST	Czech for specific purposes - humanities	4
CJVU_CzPT	CST	Czech for specific purposes - natural sciences and engineering	3
CJVU_KDPe	CST	Communication with child patient - e-learning	0
CJVU_KP	CST	Czech - conversation for advanced	12
CJVU_KPD	CST	Development of communication and presentation skills for a successful start of one's career	6
CJVU_LeCe	CST	Summer with Czech	7
CJVU_SCS	CST	Summer Cinema Sessions - online cinema club	6
CJVU_TS21	CST	Transferable Skills for 21 century. Development of Communication and Presentation Competencies in Fo	0
CJVU_WBe	CST	Wellbeing culture in the student life	5
CJVU_WBES	CST	Wellbeing culture in the student life (semestral course)	10
CJV_ZTP	CST	Pracovní skupina Zkouška z češtiny pro trvalý pobyt	0
CORE019	CST	Advances and Challenges in Modern Biology	47
CORE020	CST	The Digital World: Technology, Potentials and Risks	99
CORE040	CST	Universal design - inclusion of alterity - accessibility	27
CORE042	CST	Data – the Answer to the Ultimate Question of Life, the Universe, and Everything...	100
CORE126	CST	Modern technologies for life-science research	8
CORE128	CST		7
Cz_SUE	CST	Czech for Specific Purposes - e-learning	44
CZS40	CST	International Law and Human Rights	16
CZS44	CST	International Security: Practical Insights	13
CZS50	CST	Intercultural Communication	20
